PROMOTIONID,DOMAINNAMEID,EXPIREDATE
605758,445664,2022-02-18 23:59:59.000 Z
605864,2016,2022-02-21 23:59:59.000 Z
605738,375587,2022-02-21 23:59:59.000 Z
605742,7385,2022-02-21 23:59:59.000 Z
605075,381476,2022-02-15 23:59:59.000 Z
605102,435594,
605103,435594,
605050,1909,
605051,1909,
604933,12286,2022-02-28 23:59:59.000 Z
604932,1909,
604934,1909,
604931,1909,2022-02-14 23:59:59.000 Z
604936,1909,2022-02-14 23:59:59.000 Z
604937,55623,2022-02-28 23:59:59.000 Z
604954,1909,
604974,449694,2022-02-14 23:59:59.000 Z
604953,140150,
604972,5801,2022-02-12 23:59:59.000 Z
604971,5801,2022-02-12 23:59:59.000 Z
604975,464891,
604976,18292,2022-02-06 23:59:59.000 Z
605178,56754,2022-02-16 23:59:59.000 Z
605430,1909,2022-02-17 23:59:59.000 Z
605322,434666,2022-02-14 23:59:59.000 Z
605262,44722,2022-12-31 23:59:59.000 Z
605245,350207,2022-02-13 23:59:59.000 Z
605265,24752,2022-02-15 23:59:59.000 Z
605365,411980,2022-04-07 23:59:59.000 Z
605264,3426,2022-12-31 23:59:59.000 Z
605267,113920,2022-02-14 23:59:59.000 Z
605270,463888,2022-02-24 23:59:59.000 Z
605312,2001,2022-02-28 23:59:59.000 Z
605309,1909,
605132,2001,2022-02-26 23:59:59.000 Z
605301,1872,2022-02-19 23:59:59.000 Z
605139,1869,2022-02-15 23:59:59.000 Z
605141,5801,2022-02-12 23:59:59.000 Z
605310,3063,2022-02-26 23:59:59.000 Z
605153,63730,2022-02-22 23:59:59.000 Z
605140,381476,2022-02-10 23:59:59.000 Z
605143,168066,2022-02-10 23:59:59.000 Z
605145,23538,2022-02-24 23:59:59.000 Z
605072,185295,2022-02-12 23:59:59.000 Z
606648,186155,2022-03-07 23:59:59.000 Z
606644,136480,2022-03-28 23:59:59.000 Z
606826,505952,
606643,376157,2022-03-05 23:59:59.000 Z
606766,30482,2022-03-09 23:59:59.000 Z
606646,7105,2022-04-02 23:59:59.000 Z
605357,6801,
606827,505952,
606825,505952,
606641,376149,2022-03-07 23:59:59.000 Z
606382,1862,2022-03-31 23:59:59.000 Z
605552,204617,2023-01-31 23:59:59.000 Z
606394,227557,2022-03-06 23:59:59.000 Z
605598,8254,2022-03-12 23:59:59.000 Z
606535,4449,2022-03-06 23:59:59.000 Z
606587,92005,2022-03-06 23:59:59.000 Z
606588,4678,2022-03-15 23:59:59.000 Z
606464,2500,2022-04-30 23:59:59.000 Z
606207,463018,2022-03-06 23:59:59.000 Z
606847,372958,
606845,372958,
606844,372958,
606849,372958,
606833,372958,
606852,3568,2022-03-27 23:59:59.000 Z
606832,372958,
606836,372958,
606666,33467,2022-03-07 23:59:59.000 Z
606841,3568,2022-03-20 23:59:59.000 Z
606846,372958,
606850,372958,
606835,372958,
606854,372958,2022-03-31 23:59:59.000 Z
606851,372958,
606715,375764,2022-03-08 23:59:59.000 Z
606831,505952,
606834,372958,
606848,372958,
606660,203724,2022-03-11 23:59:59.000 Z
606857,3568,2022-03-20 23:59:59.000 Z
606839,68504,2022-03-06 23:59:59.000 Z
